fire_id,sev_img_present,state,agency,unit_id,fire_name,inc_num,cause,comments,report_ac,gis_acres,c_method,objective,fire_num,area_ha,FID,ypmc_pixel_count,alarm_year,alarm_month,alarm_day,cont_year,cont_month,cont_day,alarm_date,cont_date,burn_duration,fire_area_m2,fire_area_m2_exclude_unchanged,prop_ypmc,prefire_ndvi,nbhd_sd_ndvi_1,prefire_fm100,prefire_vpd,prefire_erc,earlyfire_vs,earlyfire_hdw,elevation,prop_unchanged,prop_low,prop_mod,prop_high,max_patch_m2_unchanged,max_patch_m2_low,max_patch_m2_mod,max_patch_m2_high,sdc,june2008fire,survived_ia,comparison_cat,dowy,simultaneous_fires
0000be3b29f984a6da3b,1,CA,USF,SNF,BASIN,00000000,1,NA,450,424.175994873047,8,suppression,00000175,171.657929832628,0,428,1984,9,17,1984,9,19,1984-09-17,1984-09-19,2,1871100,974700,0.1794131794131794,0.40678431298682305,0.061332888038673976,7.527305378026261,2.3350650118542955,75.87486689844174,2.0790269295718593,4.112513513964148,1150.4449254449255,0.4790764790764791,0.32371332371332373,0.18807118807118808,0.00913900913900914,372600,86400,64800,10800,0.03892072092154318,no,1,survived_ia,353,3
0000f788327d2841cb26,1,CA,USF,STF,DEER,NA,1,20090305,10,12.5905866622925,8,suppression,00000104,5.09522968914577,0,18,1984,9,18,1984,9,19,1984-09-18,1984-09-19,1,65700,10800,0.2465753424657534,0.5863121997003685,0.06327944136645697,8.3770294189453125,2.4380900859832764,68.718536376953125,3.0408875942230225,4.151343822479248,934.3698630136986,0.8356164383561644,0.136986301369863,0.0273972602739726,0,54900,2700,900,0,NA,no,0,died_ia,354,4
0000b4542de20eecae5f,1,CA,USF,ENF,NA,00000000,7,NA,30,26.9678859710693,8,suppression,00000085,10.9135166118619,0,75,1984,9,21,1984,9,22,1984-09-21,1984-09-22,1,129600,5400,0.5069444444444444,0.48334032338526517,0.05704730487842527,9.717339515686035,1.5777223110198975,53.93673324584962,3.8484702110290527,3.9729592800140385,1184.388888888889,0.9583333333333334,0.041666666666666664,0,0,124200,3600,0,0,NA,no,0,died_ia,357,3
00009bce3191b0232677,1,CA,NPS,KNP,KING'S,00000000,2,NA,12,30.0309410095215,8,suppression,00000003,12.153090465285,0,102,1985,6,16,1985,6,21,1985-06-16,1985-06-21,5,138600,102600,0.5714285714285714,0.49049144717199455,0.07900356667043713,7.153468627434273,1.3560124960812656,67.52539112041524,1.973176299751579,3.2138952094239075,1763.448051948052,0.2597402597402597,0.36363636363636365,0.35714285714285715,0.01948051948051948,18900,18900,43200,900,0.07312167135588166,no,1,survived_ia,259,1
0000db7dd9036d153ee8,1,CA,USF,PNF,NA,00000000,1,NA,115,43.3161354064941,8,suppression,00000040,17.5294184009127,0,110,1985,6,19,1985,6,22,1985-06-19,1985-06-22,3,202500,128700,0.4666666666666667,0.4653158725632562,0.03599048553241624,6.508716106414796,2.419853448867798,71.3711929321289,3.077317237854004,6.561654090881348,1793.5466666666666,0.36444444444444446,0.03111111111111111,0.28444444444444444,0.32,72e3,1800,27900,46800,0.01897737451740581,no,1,survived_ia,262,2
000085b0c8a755939d5a,1,CA,NPS,KNP,DOUGHERTY,00000000,1,NA,2930,2595.42724609375,8,wfu,00000007,1050.33217606948,0,7783,1985,6,25,1985,10,13,1985-06-25,1985-10-13,110,9242100,5752800,0.5952867854708346,0.5077065921690845,0.04966032440702586,6.73711382754184,1.0619668826026964,71.1204693885541,2.354041506037042,3.02637515085235,2213.594507741747,0.37754406466062906,0.17869315415327686,0.29759470250267794,0.1461680786834161,1139400,87300,1308600,310500,0.019507824771298563,no,NA,wfu,268,1
0000ba994d54f658eb79,1,CA,NPS,YNP,PATE VALLEY,00000024,4,NA,1761.31280023586,1761.31982421875,4,suppression,00000024,712.780851631093,0,2645,1985,6,30,1985,7,7,1985-06-30,1985-07-07,7,7248600,3837600,0.2637198907375217,0.4684228628232283,0.08277317665115846,6.632092089282391,1.3596421854354501,74.6717420880659,2.996519333972272,5.709011744766102,1628.3223243109014,0.4705736280109262,0.14353116463868884,0.18971939408989322,0.1961758132604917,2079e3,30600,95400,995400,0.012866101014300068,no,1,survived_ia,273,3
0000aca72925942fdc0e,1,CA,USF,SQF,PACKER,00000000,3,NA,15,7.32125759124756,8,suppression,00000026,2.96280782225644,0,28,1985,6,30,1985,7,2,1985-06-30,1985-07-02,2,45e3,26100,0.7,0.41129968911409376,0.05413792811334133,7.3948235511779785,1.5967848300933838,70.30362701416016,3.088144540786743,5.406177043914795,1818,0.42,0.32,0.26,0,16200,8100,9e3,0,NA,no,1,survived_ia,273,3
00006a44997cd04f023a,1,CA,USF,SNF,MAMMOTH,00000000,7,NA,580,764.293701171875,8,suppression,00000038,309.298697819217,0,248,1985,7,2,1985,7,4,1985-07-02,1985-07-04,2,3237300,1800900,0.05532388101195441,0.5522724842657339,0.043430534566858504,5.04864859362261,2.210908796775994,84.07370471927833,2.133315668790116,5.715446650335648,1043.8220739505143,0.44370308590492075,0.2827356130108424,0.18876841812621628,0.08479288295802058,657e3,131400,18e4,248400,0.012315313721492816,no,1,survived_ia,275,4
0000a6961a1ae54e0ce9,1,CA,USF,SQF,CONVERSE,00000000,3,NA,25,13.8136491775513,8,suppression,00000028,5.59018545688298,0,80,1985,7,5,1985,7,8,1985-07-05,1985-07-08,3,75600,19800,1,0.6371847554331734,0.04180401050308276,5.800581455230713,2.1008810997009277,77.38002014160156,3.039329767227173,6.085073471069337,1858.2857142857144,0.7380952380952381,0.21428571428571427,0.047619047619047616,0,54e3,13500,3600,0,NA,no,1,survived_ia,278,3
000057ff05a4279a724e,1,CA,NPS,KNP,NORTH DOM,00000000,1,NA,12,13.7929220199585,8,suppression,00000026,5.58179733259957,0,36,1985,7,11,1985,7,14,1985-07-11,1985-07-14,3,74700,22500,0.43373493975903615,0.6546536770211645,0.03987603389983436,6.02692174911499,1.4302940368652344,78.367919921875,2.1238107681274414,2.886464834213257,2486.385542168675,0.6987951807228916,0.2289156626506024,0.07228915662650602,0,44100,13500,4500,0,NA,no,1,survived_ia,284,2
000034d2046b8a1f9714,1,CA,USF,STF,SPICER,NA,3,20090305,60,30.6308612823486,6,suppression,00000046,12.395869872753,0,79,1985,7,12,1985,7,15,1985-07-12,1985-07-15,3,156600,97200,0.47126436781609193,0.35239370783855173,0.05666537419089983,6.689036846160889,1.8650449514389038,76.25048828125,2.165529727935791,4.2160258293151855,2039.471264367816,0.3793103448275862,0.27011494252873564,0.26436781609195403,0.08620689655172414,42300,25200,9e3,6300,0.04419105244301101,no,1,survived_ia,285,3
00005b1195274c621399,1,CA,USF,SQF,SIERRA,00000000,2,NA,50,101.12378692627,8,suppression,00000036,40.9233461550071,0,68,1985,7,13,1985,7,14,1985-07-13,1985-07-14,1,45e4,59400,0.136,0.5546328309178352,0.056575848698616024,5.49863862991333,2.4694173336029053,83.0383071899414,1.598006010055542,4.280523300170898,1167.512,0.868,0.122,0.01,0,387e3,21600,1800,0,NA,no,0,died_ia,286,4
000015d6972a76f2cb0a,1,CA,NPS,YNP,KENDRICK,00000034,1,NA,1252.17021456612,1252.17517089844,4,wfu,00000034,506.737333542857,0,4116,1985,7,25,1985,11,10,1985-07-25,1985-11-10,108,5355900,3106800,0.5765417576877836,0.5143484847622947,0.04893584106004182,9.775856677193017,1.1334488535504283,52.42008969219286,2.553369876176965,3.41058686312017,2202.4409342967565,0.4199294236262813,0.20181482103848092,0.2876827423962359,0.09057301293900184,1425600,128700,298800,66600,0.029014334373989696,no,NA,wfu,298,3
000086df10f4b6908d2f,1,CA,NPS,YNP,BARTLETT,00000035,1,NA,1052.49570473118,1052.49987792969,4,wfu,00000035,425.93160094583,0,4040,1985,7,25,1985,11,10,1985-07-25,1985-11-10,108,4516200,3655800,0.6673973694699084,0.5017561076937229,0.061135187211504745,9.503287303775561,1.2799489884653998,53.756282312264716,2.5694182342910916,3.7925238463925193,1996.7218015145477,0.19051414906337186,0.20964527700278995,0.4109206855320845,0.1889198884017537,158400,46800,999900,459e3,0.013638904305547086,no,NA,wfu,298,3
