fire_id,sev_cat,n_patches,max_patch_area_m2,sev_cat_area_m2,sev_cat_prop,sev_cat_prop_exclude_unchanged,ypmc_direct_pixel_count,prefire_ndvi,nbhd_sd_ndvi_1,prefire_fm100,prefire_vpd,prefire_erc,earlyfire_vs,earlyfire_hdw,elevation
00004cc33b4ede4c9e3f,0,2,96300,99e3,0.6918238993710691,NA,110,0.5420356820930134,0.027062588345936753,8.473298072814941,1.3163390159606934,53.38750457763672,3.911707878112793,7.678623199462891,1456.6636363636364
00004cc33b4ede4c9e3f,1,10,6300,27e3,0.18867924528301888,0.6122448979591837,30,0.5421058446168899,0.02400231504191955,8.473298072814941,1.3163390159606934,53.38750457763672,3.911707878112793,7.678623199462891,1419.8333333333333
00004cc33b4ede4c9e3f,2,3,11700,17100,0.11949685534591195,0.3877551020408163,19,0.5417700723597878,0.02432834974637157,8.473298072814941,1.3163390159606934,53.38750457763672,3.911707878112793,7.678623199462891,1443.3157894736842
0000024c773a0175fcff,0,7,119700,163800,0.33955223880597013,NA,180,0.5024708758343707,0.05049146817239759,8.147289276123047,1.7180215120315552,58.141056060791016,4.523510932922363,6.192919731140137,1369.2032967032967
0000024c773a0175fcff,1,18,21600,85500,0.17723880597014927,0.268361581920904,85,0.3825511585724981,0.05448217760575445,8.147289276123047,1.7180215120315552,58.141056060791016,4.523510932922363,6.192919731140137,1359.5263157894738
0000024c773a0175fcff,2,13,19800,54900,0.11380597014925373,0.17231638418079095,61,0.44279198006528325,0.05117629401263644,8.147289276123047,1.7180215120315552,58.141056060791016,4.523510932922363,6.192919731140137,1359.1639344262296
0000024c773a0175fcff,3,2,177300,178200,0.3694029850746269,0.559322033898305,198,0.5289011588602355,0.030502707382306607,8.147289276123047,1.7180215120315552,58.141056060791016,4.523510932922363,6.192919731140137,1365.0656565656566
000096120dae7665315a,0,1,107100,107100,0.9834710743801653,NA,119,0.4044149475438254,0.04054127046603616,8.779773712158203,1.967905044555664,58.55516815185547,4.917811870574951,8.490180969238281,1164.4705882352941
000096120dae7665315a,1,2,900,1800,0.01652892561983471,1,2,0.34722311794757843,0.03825218230485916,8.779773712158203,1.967905044555664,58.55516815185547,4.917811870574951,8.490180969238281,1168
00002ac64c0401c1ada7,0,11,3910500,4137300,0.895926719937634,NA,4166,0.3946574959844798,0.04041314865682296,6.167194221443474,2.050167290158756,77.04057452085875,3.5672374863922274,6.870281030801371,2315.138568631716
00002ac64c0401c1ada7,1,289,38700,471600,0.10212434223348275,0.9812734082397003,471,0.365933834283634,0.04127511807329924,6.104335969641008,2.1130823948001134,77.85287622641061,3.557144790660334,7.049912527317309,2301.5248091603053
00002ac64c0401c1ada7,2,10,900,9e3,0.0019489378288832587,0.018726591760299626,10,0.3395513415336609,0.03537971507757902,6.172169399261475,2.072327899932861,77.17876586914062,3.5578646659851074,6.9167962074279785,2276.3
00002bb47ed70168f1b0,0,69,386100,954e3,0.07132763609447547,NA,620,0.38569353591158706,0.04970937380259681,9.090065164386102,1.6631043830007877,57.46095023964936,3.1190318575445213,5.358296239600992,1854.0443396226415
00002bb47ed70168f1b0,1,317,99900,1501200,0.11224009151470292,0.12086080718788493,707,0.3552640267431164,0.04510046718184271,9.005897865020971,1.672463961642423,57.74989052642164,3.121259768232167,5.387060463857308,1797.7416067146282
00002bb47ed70168f1b0,2,125,3504600,6023700,0.45037346073615503,0.4849648576190131,2333,0.39595333749396944,0.04683856542802313,9.000959457632282,1.6731883747310858,57.7729206988581,3.121389735070968,5.3894614816406605,1794.5008217540715
00002bb47ed70168f1b0,3,136,2159100,4896e3,0.3660588116546666,0.39417433519310197,567,0.49578752452507613,0.04684694754447692,8.955121349061237,1.678146352071096,57.925448769681594,3.1226036695873036,5.404559636904913,1792.4483455882353
000008a9a6039567933a,0,40,289800,434700,0.46621621621621623,NA,82,0.2617920366256627,0.03738088275867034,8.257508277893066,1.2453052997589111,65.87763977050781,1.8853156566619873,2.5816469192504883,2587.79917184265
000008a9a6039567933a,1,68,36900,264600,0.28378378378378377,0.5316455696202531,119,0.3571661404099594,0.04312040115117419,8.257508277893066,1.2453052997589111,65.87763977050781,1.8853156566619873,2.5816469192504883,2660.0238095238096
000008a9a6039567933a,2,25,166500,224100,0.24034749034749034,0.45027124773960214,184,0.38311011676328727,0.043842174251186083,8.257508277893066,1.2453052997589111,65.87763977050781,1.8853156566619873,2.5816469192504883,2608.6305220883532
000008a9a6039567933a,3,4,4500,9e3,0.009652509652509652,0.018083182640144666,10,0.4137261986732483,0.03539064284414053,8.257508277893066,1.2453052997589111,65.87763977050781,1.8853156566619873,2.5816469192504883,2590
000052e0539864483845,0,1199,10782e3,35523e3,0.3251771296753996,NA,1622,0.2951382686410685,0.02678327385295694,6.192192225024946,3.1137632500228323,82.42413631252678,4.135035962046084,10.748865902583931,1316.8260450975424
000052e0539864483845,1,3266,3680100,22816800,0.20886472235953205,0.30951043828592356,2089,0.2993628263609286,0.028997989989496514,6.179377527953925,3.067767196741342,82.33963871393418,4.1609739246673865,10.686881484049433,1351.545361312717
000052e0539864483845,2,1226,18622800,37495800,0.3432361179766024,0.5086314247344647,2665,0.35688571217192455,0.03321202180019863,6.082307202159846,3.0556874932858693,82.90455330740696,4.154792003341795,10.635729038070416,1467.146848447026
000052e0539864483845,3,735,2388600,13406400,0.12272202998846597,0.18185813697961176,792,0.4540936305206649,0.03163531156435357,5.969930098437085,3.009813370433197,83.32718160764487,4.141658637596636,10.43746853643022,1613.3872180451128
