fire_id,fire_area_m2,fire_area_m2_exclude_unchanged,prop_ypmc,prefire_ndvi,nbhd_sd_ndvi_1,prefire_fm100,prefire_vpd,prefire_erc,earlyfire_vs,earlyfire_hdw,elevation
0000001e69127561af8d,31962600,27784800,0.7317395956524188,0.5888560832017978,0.04567024048784996,8.966520846571452,1.3760819828590174,69.59140218520021,3.274798377889324,3.1825747311689256,2059.1596271892777
00000070cedf65ed5322,180900,28800,1,0.5811304905224794,0.04964276737723481,9.630967140197752,2.3353898525238033,61.330806732177734,2.3380889892578125,6.432939052581787,971.1094527363183
000000b7d289acbdb8f1,629100,324900,0.23605150214592274,0.2998076069231368,0.0643853348132239,5.853298552899231,1.181445452276729,80.94560991540999,2.251974594610102,1.995027010703462,2638.552217453505
000000bbe20c9cbe371a,3600,0,1,0.7245298475027084,0.029613935388624668,8.27010726928711,0.5697585344314575,76.067230224609375,3.201932430267334,5.54940938949585,1223.25
000000cdc706e7fa40fd,150300,145800,0.023952095808383235,0.5268917147984762,0.03531199830868644,7.81533432006836,1.338300347328186,57.70077514648438,3.7838959693908696,5.513369083404541,2479.574850299401
0000011f207417739f01,1941300,543600,0.13537320352341214,0.4507419657053691,0.05687690565106103,9.559194564819336,1.087605595588684,60.539093017578125,2.909331798553467,2.5003151893615723,2743.029207232267
00000137ecb56edd2b2c,69300,18900,0.33766233766233766,0.8037682013078169,0.01806555288033439,9.339493540974406,1.499657130860663,58.35262145005263,3.535823543350418,4.236299056511421,1036.1558441558443
00000146a8b52f226985,1033200,531e3,0.7534843205574913,0.598244946437015,0.04577356778111192,7.096713331933636,1.1136698591999892,63.22702279572703,2.0607200338657723,1.4203096750721285,2034.915505226481
000001b3dddd3a8bfbb1,49500,31500,0.5636363636363636,0.7406338334083558,0.04071804994547909,6.673725128173828,0.9386012554168701,74.839599609375,3.0956931114196777,2.4078118801116943,1407.690909090909
0000024c773a0175fcff,482400,318600,0.9776119402985075,0.484188059150283,0.043892806112668964,8.147289276123047,1.7180215120315552,58.141056060791016,4.523510932922363,6.192919731140137,1364.8171641791046
000002624362cc3f4873,1521900,1168200,0.34713187463039624,0.6491984993060759,0.05457452066118225,5.733382321757582,3.5557633338772567,81.68629028753442,3.220119091126427,7.1377724619887415,438.77882909520997
00000270e96066044c2a,44100,15300,1,0.6952620568324108,0.059205220327997694,7.150181760593336,1.3168152984307737,63.3246617219886,3.156962579610396,1.380100131034851,1647.2857142857142
00000381f505a885a557,551700,285300,1,0.48984150790273656,0.046309430787239536,12.020161883866027,0.7391120162329121,36.002690288798846,3.9480337303186515,2.5645713452219376,1653.3327895595432
00000396a742e37ea3c6,1699200,711900,0.9226694915254238,0.6622258101795185,0.02833695768110328,8.233799812652297,1.06185028499971,55.774695263070576,1.9121892377734186,1.8342387514599299,2119.7441737288136
000003ebcc8c05b5ff63,109800,27e3,1,0.7973043239507519,0.014648702839145163,4.911086082458497,2.398824214935303,89.38200378417969,7.4259986877441415,12.459211349487306,1276.909836065574
