fire_id,sev_cat,n_patches,max_patch_area_m2,sev_cat_area_m2,sev_cat_prop,sev_cat_prop_exclude_unchanged,ypmc_direct_pixel_count,prefire_ndvi,nbhd_sd_ndvi_1,prefire_fm100,prefire_vpd,prefire_erc,earlyfire_vs,earlyfire_hdw,elevation,sev_img_present,state,agency,unit_id,fire_name,inc_num,cause,comments,report_ac,gis_acres,c_method,objective,fire_num,area_ha,FID,ypmc_pixel_count,alarm_year,alarm_month,alarm_day,cont_year,cont_month,cont_day,burn_duration,sdc
0000c73a317c788b7dc3,3,1,7200,7200,0.03773584905660377,0.05,8,0.4843706376850605,0.06621394539251924,5.114905834197998,2.553218364715576,75.43207550048828,3.5855824947357178,6.657996654510498,1581.75,1,CA,CDF,LMU,LGT #25 (2-7),00002434,1,NA,136,126.514961242676,1,suppression,00000076,51.1987893981347,0,189,2006,6,27,2006,7,4,7,0.029146314539605596
0000c585d6e9227762cc,3,9,312300,519300,0.4919011082693947,0.5179533213644524,0,0.44493908619756717,0.02820250912015835,3.9383727239777353,3.050907362271843,94.32618097209435,2.920872779198288,6.157824552658319,2004.6048526863085,1,CA,USF,SQF,SMITH,00001764,1,NA,225,225.138275146484,7,suppression,00000010,91.110229240557,0,28,2006,6,27,2006,7,6,9,0.008077434492869273
0000252530d4bdb51fa2,3,15,18e3,59400,0.026294820717131476,0.03241650294695481,47,0.4933468374339017,0.0545512732174812,4.500445365905762,2.7415106296539307,82.39282989501953,3.277106285095215,5.731836795806885,1379.2878787878788,1,CA,CDF,LMU,CHENEY INCIDENT,00002371,1,TWO LIGHTNING FIRES THAT BURNED TOGETHER,646,646.679016113281,1,suppression,00000047,261.701701625224,0,927,2006,6,28,2006,6,29,1,0.034524343798645676
0000f326c3d3ee2ce69c,3,4,7200,18e3,0.10416666666666667,0.1724137931034483,20,0.7315135598182678,0.03377177412621677,7.120368480682373,1.6562961339950562,69.636962890625,2.1379141807556152,4.653810501098633,1002.85,1,CA,USF,PNF,FOOT,00000000,3,NA,40,36.7372589111328,6,suppression,00000084,14.8670406644202,0,209,2006,7,6,2006,7,20,14,0.04816490342229624
000011141e5dae3d5108,3,6,2700,7200,0.001064679265371307,0.0027605244996549345,0,0.16799426509533077,0.061371748335659504,7.826876759529114,1.1106009781360626,66.22438144683838,1.852631464600563,1.899594396352768,2882.25,1,CA,USF,SQF,MAGGIE,00210006,1,NA,2097,2097.88720703125,1,wfu,00000018,848.984793913161,0,18,2006,7,9,2006,12,11,155,0.06700485642814144
000067e3c930381b75bb,3,123,267300,1488600,0.08196640071361316,0.1199419869470631,490,0.5005898086969012,0.03941728529506819,6.916025116192819,1.2044727382809826,72.88337695526529,1.7863517041073744,2.1109761848703403,2545.585247883918,1,CA,USF,SQF,TAMARACK WFU,00210606,1,NA,4654,4655.90185546875,1,wfu,00000019,1884.17660516417,0,7342,2006,7,9,2006,12,11,155,0.01841508193565449
0000798817faff868279,3,26,57600,241200,0.15022421524663676,0.16183574879227053,267,0.515450588469185,0.05204606205642001,6.23687498427149,1.57770258366172,79.43585458442347,2.7100129278738105,5.739476098943112,1965.19776119403,1,CA,USF,PNF,GREASE,00000551,7,NA,366,365.873779296875,2,suppression,00000098,148.063869340839,0,1986,2006,7,16,2006,7,31,15,0.025019446195282083
000066dde8471aa16b30,3,46,1186200,2024100,0.29883072017007706,0.31595953919640346,1908,0.533213888925677,0.05365664396507905,5.7214963475350755,2.3785254303324534,82.82137208347481,3.0380137750126086,7.139906620332642,1583.7140951534016,1,CA,CDF,LMU,CREEK INCIDENT,00002968,1,NA,1611.57,1611.61743164062,1,suppression,00000191,652.198422499452,0,5917,2006,7,18,2006,7,18,0,0.010413121291491552
0000207efb766fe4a873,3,12,16200,44100,0.016187644532540468,0.029661016949152543,29,0.5771901826469266,0.07871553929028463,9.173246383666992,1.520248293876648,50.7182731628418,1.8370367288589478,3.0150136947631836,2571.061224489796,1,CA,NPS,KNP,BURNT,00000047,1,NA,627,627.620178222656,7,wfu,00000047,253.98887781068,0,2343,2006,7,21,2006,12,29,161,0.03988588835786016
0000693e4f2b6102afd1,3,3,7200,9e3,0.015432098765432098,0.021929824561403508,10,0.5082534521818161,0.07047070674598217,5.31472635269165,2.047795057296753,83.66143035888672,2.7736172676086426,5.670528411865234,2206.6,1,CA,NPS,YNP,MIDDLE T WFU,00002537,1,NA,129.5,129.4208984375,1,wfu,00002537,52.3747780803087,0,661,2006,7,21,2006,8,24,34,0.04610501925834366
00000c50d96b54f1110d,3,206,202500,1224e3,0.04879623981916688,0.06309733692122112,698,0.5891128242892377,0.043015423634171705,5.413931161165237,2.0869670238564995,83.87925211401547,2.7068853679825278,5.79783533355769,2059.5257352941176,1,CA,NPS,YNP,FROG,00002538,1,NA,6031,6029.85107421875,7,wfu,00002538,2440.19422634714,0,23057,2006,7,21,2006,11,11,113,0.026856879827739984
0000534990876e70022c,3,5,4500,8100,0.001167466597483461,0.001749611197511664,5,0.5888609886169434,0.03812577254656288,11.132744789123535,1.7045245303048029,44.568726009792755,2.027983691957262,3.6670174598693848,2261.6666666666665,1,CA,NPS,KNP,ROARING,00000055,1,NA,1643,1643.12280273438,2,wfu,00000055,664.948219181278,0,7700,2006,7,23,2006,12,29,159,0.06341277784349908
000067a493a1b007d0b9,3,146,251100,941400,0.06434547244094488,0.07244268993697625,238,0.475740221245339,0.036688078320398214,7.16898686297765,1.6685050409109141,76.19063910927417,2.1013102531433105,3.1821427545857475,2568.050669216061,1,CA,USF,SQF,BRODER/BECK WFU,00002511,1,Broder and Beck WFU fires became Broder/Beck WFU.  Used Broder Local Number.,3490,3492.24462890625,1,wfu,00000065,1413.26130277472,0,12639,2006,7,26,2006,9,29,65,0.029018448996563213
0000146f14fb59c73bfe,3,59,3784500,3985200,0.4100759399888868,0.41987483406030723,48,0.4189591202800782,0.0381216771153787,8.76186044429376,1.4651273747985172,71.88303699855236,3.1123932691555143,7.226416428345437,1785.5785907859079,1,CA,BLM,KRN,COTTONWOOD,BBD02680,9,"KRN costs only, excluding straight time costs",2344.08870044909,2344.130859375,8,suppression,00622687,948.636092773516,0,1249,2006,8,7,2006,8,10,3,0.005345136201537241
