fod_id,alarm_date,cont_date,fire_size,prop_ypmc,elev,earlyFfm100,fm100,hdw,vs,vpd,RBR,preFire_ndvi,het_ndvi_1,focal_mean_ndvi_1,burn_duration
1361486,2008-06-04,NA,1,1,678,8.929755210876465,10.131227493286133,5.369745254516602,4.139504909515381,1.1513508558273315,0.004861047961613554,0.39545080065727234,0.1063639586883063,0.43170833587646484,NA
217342,1998-03-11,1998-03-11,0.1,1,688,16.823087692260742,19.627857208251953,0.6716546416282654,1.8931372165679932,0.5148965120315552,NA,NA,NA,NA,0
318028,2004-09-04,2004-09-04,0.5,0.777777777777778,688,5.859439849853516,6.090297698974609,6.732041835784912,2.286295175552368,2.144031524658203,-0.0551366722857997,0.5483425259590149,0.10420418551201205,0.6173294186592102,0
1360553,1994-07-08,NA,0.6,1,693,6.57436990737915,7.3886399269104,8.797908782958984,3.3002164363861084,2.5126590728759766,-0.01349281145366834,0.6530736684799194,0.0828078703392796,0.624283492565155,NA
300321822,2009-09-13,NA,1,1,638,11.763439178466797,6.466060161590576,1.6988903284072876,2.4854867458343506,3.0494625568389893,-4.1164835568047127e-4,0.48704662919044495,0.0649745426065979,0.4923449754714966,NA
300339300,2009-08-10,NA,0.1,1,651,7.443315505981445,11.365894317626953,9.473320960998535,3.4231231212615967,1.4997446537017822,-0.016062374496073232,0.37353259325027466,0.043066079737908755,0.39588046073913574,NA
1360059,2007-08-29,NA,1,1,662,6.351829528808594,6.839529037475586,10.940877914428711,3.8444368839263916,2.839792490005493,-0.012140469780026282,0.41784167289733887,0.03340568602834349,0.44749587774276733,NA
218675,1999-10-19,1999-10-19,0.3,1,685,5.215697288513184,4.978387355804443,2.856597661972046,1.3295016288757324,2.1053404808044434,0.06659945647505476,0.27117812633514404,0.04892202325011047,0.3252340257167816,0
315405,2000-06-15,2000-06-15,0.1,1,685,7.962897300720215,11.727429389953613,10.35165786743164,4.3888444900512695,2.256803035736084,0.06510187712224648,0.6039514541625977,0.019683932776443657,0.6120516061782837,0
1361021,1992-06-21,NA,3,0.148148148148148,688,8.160932540893555,10.73754596710205,6.341007232666016,3.312749147415161,1.5282853841781616,-0.12436910008087478,0.5233888626098633,0.054796303732121465,0.5369018316268921,NA
300307169,2015-08-20,2015-08-20,0.25,1,833,4.841482162475586,4.0420451164245605,7.813231468200684,3.1906023025512695,3.5485613346099854,-0.007307950060298935,0.6807109713554382,0.03562198884278107,0.680108368396759,0
300331643,2009-06-08,NA,0.25,1,863,13.165019035339355,16.105276107788086,3.113560676574707,3.722909927368164,0.38832905888557434,0.023135773745817004,0.7550876140594482,0.02437238460378844,0.74005889892578125,NA
319809,2007-07-13,2007-07-13,0.1,1,778,7.390958786010742,7.227787971496582,7.3222551345825195,3.2322640419006348,2.0888800621032715,-0.012269363804531157,0.5643492937088013,0.07448273205258026,0.5929102897644043,0
300308001,2015-12-01,2015-12-01,0.25,0.5,827,12.959495544433594,11.95667839050293,1.5822125673294067,3.0910980701446533,0.5559465289115906,0.0019464937599563007,0.6748148202896118,0.026993438161203965,0.6898419857025146,0
319172,2006-07-31,2006-07-31,0.2,1,774,6.638262748718262,6.127562046051025,3.6247355937957764,1.8340978622436523,2.2177159786224365,0.02248078928239859,0.7757052183151245,0.04187079647674205,0.7868614792823792,0
201819795,2013-12-28,2013-12-28,0.1,1,862,7.7756876945495605,9.514298439025879,4.6411919593811035,4.0479326248168945,1.251657485961914,-0.020736155967934756,0.582930326461792,0.058272014771031874,0.6031796932220459,0
316279,2001-09-13,2001-09-13,0.1,1,799,9.437514305114746,7.686036109924316,5.107595443725586,2.4548583030700684,1.6612904071807861,-0.052953984804593776,0.2693614363670349,0.04664613310163524,0.25932687520980835,0
316772,2002-08-28,2002-08-28,1,1,799,6.6481828689575195,6.627340793609619,7.112699508666992,3.1340951919555664,2.4059319496154785,0.06608603848589392,0.3164949417114258,0.04182929932433256,0.299091637134552,0
316929,2002-11-29,2002-11-29,0.1,1,799,9.779821395874023,9.126550674438477,0.8894689679145813,1.683941125869751,1.238975167274475,0.12037934296796297,0.2983325123786926,0.049411809838233754,0.30196261405944824,0
317627,2004-05-01,2004-05-01,0.1,1,799,7.2207841873168945,7.466490268707275,2.4447779655456543,1.3101232051849365,1.3540798425674438,-0.23013570508541947,0.5540403127670288,0.020411221288506975,0.5586190223693848,0
318006,2004-08-28,2004-08-28,35,0.85031847133758,799,6.60031795501709,10.026777267456055,8.599516868591309,2.6955063343048096,1.6406450271606445,-0.029138724705877632,0.3016902208328247,0.05338223502778988,0.28130656480789185,0
300108940,2014-02-05,NA,2,0.567567567567568,770,21.62194061279297,16.078338623046875,0.4046070873737335,4.149293422698975,0.3531552851200104,0.028930148562105355,0.6266833543777466,0.08885398570293236,0.6213963627815247,NA
300343296,2015-01-20,2015-01-20,0.1,1,732,15.728168487548828,18.98394012451172,2.023700714111328,3.258209705352783,0.16019615530967712,-0.010709899380903203,0.667243480682373,0.03650696936253853,0.63338470458984375,0
201655431,2012-04-19,NA,0.01,1,709,14.342914581298828,16.268959045410156,3.1297872066497803,2.3423993587493896,0.72608882188797,0.005469594854445278,0.7148542404174805,0.03284932398371664,0.6803592443466187,NA
316411,2002-04-07,2002-04-07,1,0.777777777777778,734,15.198546409606934,12.638545036315918,1.6665339469909668,3.9149303436279297,0.6761808395385742,0.01399240057316799,0.6616541147232056,0.04822361590830257,0.6740880012512207,0
316517,2002-06-08,2002-06-08,0.1,1,734,7.126463413238525,7.705633640289307,11.666295051574707,8.064502716064453,2.165020704269409,0.00875268135531518,0.7538073062896729,0.03867241885428717,0.7662396430969238,0
318007,2004-08-28,2004-08-28,15,0.771217712177122,734,6.630087852478027,10.165701866149902,8.70761489868164,2.694298267364502,1.661898136138916,0.01464668441416862,0.7655833959579468,0.05991883784636156,0.7424274682998657,0
1360562,1994-07-27,NA,0.1,1,734,6.409334182739258,7.4400410652160645,9.50651741027832,3.337083101272583,2.454435110092163,-0.018597979019603604,0.7443382740020752,0.020224471826665653,0.7507351636886597,NA
1358354,2004-04-28,NA,1,1,795,7.487490653991699,9.635412216186523,4.836270332336426,3.803945779800415,2.0579867362976074,0.01243757899833208,0.7495677471160889,0.019520304016249754,0.7502644658088684,NA
